0,1
,
Č,
kompanija,kompànija
za,
dostavu,dȍstava
hrane,hrána
oor,oor
ash,ash
objavila,
je,
da,
će,
kupiti,
finski,
olt,olt
kako,
bi,
proširila,
poslovanje,poslovánje
na,
uropu,ur
u,
razdoblju,rázdōblje
normalizacije,normalizácija
potražnje,potrážnja
nakon,
pandemijskog,pandemij
buma,bu
otražnja,otraž
uslugama,ȕsluga
dostave,
snažno,
ojačala,
pandemiji,pandèmija
covida-,cov
ali,
se,
trebala,
stabilizirati,
sljedećih,
mjeseci,mjȅsec
pripremajući teren,priprema
konsolidaciju,konsolidácija
sektoru,sȅktor
koji,
teško,
dolazi,
do,
dobiti,
ističe,
euters,eut
ransakcija,ransa
od,
sedam,
milijardi,milìjārda
eura,èuro
merički,mer
oordash,oor
dogovorio,
kupnju,kúpnja
olta,ol
transakciji,transàkcija
vrijednoj,
nudeći,nȕžda
dioničarima,diòničār
finske,Fȋnskā
tvrtke,tvȑtka
vlastite,
dionice,diònīk
rijednost,rijed
ashovih,ash
dionica,diònica
koje,
biti,
izdane,
sklopu,sklȍp
transakcije,transàkcija
iznosit,
dolara,dȍlār
po,Pȃd
dionici,diònīk
objavile,
su,sȕ
dvije,dvȉje
kompanije,kompànija
tom,
transakcijom,transàkcija
proširiti,
europska,
tržišta,tȑžīšte
uključujući,
jemačku,
ansku,an
Švedsku,Švȅdskā
rvatsku,rva
i,
rbiju,rb
počeo,
poslovati,
godine,gȍdina
elsinkiju,elsin
međuvremenu,međuvrijéme
proširio,
uropi,ur
ziji,zi
ima,
više,
tisuća,tìsuća
partnera,pȁrtner
među,
restoranima,restòrān
maloprodajnim,
tvrtkama,tvȑtka
navodi,návod
ima ,im
milijuna,
mjesečno,
aktivnih,
korisnika,kòrisnīk
inska,in
kraja,krȃj
rujna,
imala,
a,
kraju,krȃj
trećeg,
tromjesečja,tròmjesēčje
imao,
devet,
pretplatnika,prètplatnīk
usluge,ȕsluga
druživanje,druži
snaga,snága
s,
oltom,ol
omogućit,
nam,nȃm
brže,
rastemo,
međunarodnoj,
razini,ràzina
istodobno,
pojačamo,
naš,
fokus,fókus
istaknuo,
priopćenju,priopćénje
objavljenom,objavlje
utorak,útorak
šef,šȅf1
američke,
ony,ony
otovo,ot
trećine,trećìna
bruto,
vrijednosti,vrijédnōst
oltovih,olt
narudžbi,nárudžba
pokazatelja,pokàzatelj
koja uključuje,koja ukl
vrijednost,vrijédnōst
svih,
pretplate na,pretplat
osigurava,
pozitivan,
doprinos,dȍprinos
istaknuli,
američkoj,
tvrtki,tvȑtka
napomenuvši,
neće,
objaviti,
detalja,dètālj
   ,   
duće,
očekuju,
zaradu,zȃrada
od ,
zaključena,
prvoj,
polovini,polòvina
iduće,
oltu,ol
ashu,as
prilagođenom,prilagođ
temeljnom,
rasponu,ráspon
pozitivne,
nule,nȕla
odvojeno,
objavio,
mu,
prihod,príhod
trećem,
tromjesečju,tròmjesēčje
poskočio,
posto,
Ć,
vrhuncu,vrhúnac
karijere,karijéra
bio,
jedna,
najvećih,
nada,
svijetu,svijȇt
tenisa,ténis
svojio,svo
broncu,brȏnca
limpijskim,limpi
igrama,ìgra
avis,av
cup,ćȕp
sedmi,
igrač,ìgrāč
svijeta,svijȇt
pak,
profesionalna,
teniska,
karijera,karijéra
propala,
zbog,
teške,
bolesti,bȍlēst
razgovoru,rȁzgovōr
-ovu,-o
emisiju,emìsija
svojem,
filmu opisao,filmu op
najteže,
trenutke,trenútak
životu,žìvot
Život,žìvot
vam,
podijeli,
karte,kàrtōn
o,
sam,
podnio,
kao,
sportaš,spòrtāš
nčić,nč
posljednjih,
godina,gȏd
živi,žȉva
radi,
-u,-u
to,
all,all
treetu,tre
rvatskoj,rvats
završio,
ravni,
fakultet,fakùltēt
olumbusu,olumb
doktorirao,
 , 
jednostavno,
vama,
igrate,
brazovanje,brazo
bilo,bȉlo
ključ,kljẉč
ono,
mi,
dalo,
drugu,
šansu,sànšu
mao,mao
želju,zȇlje
dokazati,
nečem,
novom,
bez,bȅz
obrazovanja,obrazovánje
ne,
moguće,
ilo,
novo,
uzbudljivo,
rekao,
bivši,
hrvatski,
